2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,010,111,Maneuver Units,Y,"791,450","528,697","1,320,147","723,945","20,211",0,"744,156","-146,065","598,091","1,389,541","528,697","1,918,238",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,020,112,Modular Support Brigades,Y,"68,373","1,476","69,849","5,904",0,0,"5,904",0,"5,904","74,277","1,476","75,753",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,030,113,Echelons Above Brigade,Y,"438,823","4,112","442,935","38,614",0,0,"38,614",0,"38,614","477,437","4,112","481,549",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,040,114,Theater Level Assets,Y,"660,258","252,597","912,855","1,651,817","190,967","27,032","1,869,816","-184,743","1,685,073","2,318,299","279,629","2,597,928",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,050,115,Land Forces Operations Support,Y,"863,928","70,199","934,127","835,138","2,020",0,"837,158","-109,291","727,867","1,591,795","70,199","1,661,994",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,11,Land Forces,060,116,Aviation Assets,Y,"1,360,597","18,000","1,378,597","165,044",0,0,"165,044","-21,828","143,216","1,503,813","18,000","1,521,813",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,12,Land Forces Readiness,070,121,Force Readiness Operations Support,Y,"3,086,443","180,900","3,267,343","1,756,378","49,623",0,"1,806,001","-65,466","1,740,535","4,826,978","180,900","5,007,878",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,12,Land Forces Readiness,080,122,Land Forces Systems Readiness,Y,"439,488",0,"439,488","348,174","128,679",0,"476,853","-119,938","356,915","796,403",0,"796,403",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,12,Land Forces Readiness,090,123,Land Forces Depot Maintenance,Y,"1,013,452","50,000","1,063,452","350,000",0,0,"350,000",0,"350,000","1,363,452","50,000","1,413,452",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,100,131,Base Operations Support,Y,"7,816,343","73,700","7,890,043","40,000","5,749",0,"45,749","-10,944","34,805","7,851,148","73,700","7,924,848",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,110,132,"Facilities Sustainment, Restoration & Modernization",Y,"2,234,546","231,336","2,465,882",0,0,0,0,0,0,"2,234,546","231,336","2,465,882",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,120,133,Management and Operational Headquarters,Y,"452,105","12,700","464,805",0,0,0,0,0,0,"452,105","12,700","464,805",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,130,134,Combatant Commanders Core Operations,Y,"155,658",0,"155,658",0,0,0,0,0,0,"155,658",0,"155,658",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,140,135,Additional Activities,Y,0,0,0,"5,990,878","2,254,888","100,950","8,346,716","-2,120,153","6,226,563","6,125,613","100,950","6,226,563",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,150,136,Commanders Emergency Response Program,Y,0,0,0,"5,000",0,0,"5,000",0,"5,000","5,000",0,"5,000",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,160,137,RESET,Y,0,0,0,"1,092,542","8,180",0,"1,100,722","-7,624","1,093,098","1,093,098",0,"1,093,098",U
2020A,"Operation & Maintenance, Army",ARMY,01,Operating Forces,13,Land Forces Readiness Support,170,138,Combatant Commands Direct Mission Support,Y,"441,143",0,"441,143","79,568",0,"35,200","114,768",0,"114,768","520,711","35,200","555,911",U
2020A,"Operation & Maintenance, Army",ARMY,02,Mobilization,21,Mobility Operations,180,211,Strategic Mobility,Y,"336,329",0,"336,329",0,0,0,0,0,0,"336,329",0,"336,329",U
2020A,"Operation & Maintenance, Army",ARMY,02,Mobilization,21,Mobility Operations,190,212,Army Prepositioned Stocks,Y,"390,848",0,"390,848","350,200",0,0,"350,200","-48,408","301,792","692,640",0,"692,640",U
2020A,"Operation & Maintenance, Army",ARMY,02,Mobilization,21,Mobility Operations,200,213,Industrial Preparedness,Y,"7,401",0,"7,401",0,0,0,0,0,0,"7,401",0,"7,401",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,31,Accession Training,210,311,Officer Acquisition,Y,"131,942",0,"131,942",0,0,0,0,0,0,"131,942",0,"131,942",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,31,Accession Training,220,312,Recruit Training,Y,"47,846",0,"47,846",0,0,0,0,0,0,"47,846",0,"47,846",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,31,Accession Training,230,313,One Station Unit Training,Y,"45,419",0,"45,419",0,0,0,0,0,0,"45,419",0,"45,419",U
2020A,"Operation & Maintenance, Army",ARMY,03,Training and Recruiting,31,Accession Training,240,314,Senior Reserve Officers Training Corps,Y,"482,747",0,"482,747",0,0,0,0,0,0,"482,747",0,"482,747",U
