2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,005,Basic Pay,Add,Y,"6,846,876","48,824","6,895,700","315,786","12,129","47,684","375,599","-29,588","346,011","7,145,203","96,508","7,241,711",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,010,Retired Pay Accrual,Add,Y,"2,015,554","-24,277","1,991,277","74,526","2,862","8,248","85,636","-6,947","78,689","2,085,995","-16,029","2,069,966",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,025,Basic Allowance for Housing,Add,Y,"2,241,563","-135,889","2,105,674","133,911","5,144","-18,320","120,735","-11,066","109,669","2,369,552","-154,209","2,215,343",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,030,Basic Allowance for Subsistence,Add,Y,"285,488","-8,503","276,985","11,866",450,"1,812","14,128","-1,118","13,010","296,686","-6,691","289,995",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,035,Incentive Pays,Add,Y,"85,542",-466,"85,076","1,543",59,640,"2,242",-168,"2,074","86,976",174,"87,150",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,040,Special Pays,Add,Y,"367,175","-8,705","358,470","15,411","4,483","1,658","21,552","-5,320","16,232","381,749","-7,047","374,702",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,045,Allowances,Add,Y,"212,392","-30,191","182,201","11,970","2,357","1,494","15,821","-3,656","12,165","223,063","-28,697","194,366",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,050,Separation Pay,Add,Y,"201,125","-93,217","107,908","4,541",177,278,"4,996",-445,"4,551","205,398","-92,939","112,459",U
2010A,"Military Personnel, Army",ARMY,01,Pay and Allowances of Officers,055,Social Security Tax,Add,Y,"521,218","6,303","527,521","24,158",928,"3,684","28,770","-2,264","26,506","544,040","9,987","554,027",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,060,Basic Pay,Add,Y,"12,429,886","165,864","12,595,750","506,209","19,444","58,174","583,827","-46,980","536,847","12,908,559","224,038","13,132,597",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,065,Retired Pay Accrual,Add,Y,"3,663,328","-26,063","3,637,265","119,465","4,594","9,054","133,113","-11,037","122,076","3,776,350","-17,009","3,759,341",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,080,Basic Allowance for Housing,Add,Y,"4,701,364","-269,917","4,431,447","255,613","9,818","-2,452","262,979","-23,410","239,569","4,943,385","-272,369","4,671,016",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,085,Incentive Pays,Add,Y,"90,342","3,474","93,816",959,36,"1,060","2,055",-88,"1,967","91,249","4,534","95,783",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,090,Special Pays,Add,Y,"395,840","608,440","1,004,280","47,347","13,435","-20,092","40,690","-15,428","25,262","441,194","588,348","1,029,542",U
2010A,"Military Personnel, Army",ARMY,02,Pay and Allowances of Enlisted,095,Allowances,Add,Y,"707,120","-8,585","698,535","46,094","6,829","-18,016","34,907","-10,807","24,100","749,236","-26,601","722,635",U
